name,type,RD,Cache,sum_RTT,queries,total_time,cache_hits,cache_misses,num_answers
b-matrix.com,1,1,0,0.7546756267547607,3,0.7561290264129639,,,1
b-matrix.com,1,0,1,0.18339967727661133,1,0.8113179206848145,2,0,1
afresnohomeinspector.com,1,0,0,1.7711658477783203,6,1.774160385131836,,,1
afresnohomeinspector.com,1,1,0,1.7148027420043945,6,1.7171299457550049,,,1
afresnohomeinspector.com,1,0,1,0.17063546180725098,1,1.144080638885498,2,0,1
pieceinch.com,1,0,0,0.6424589157104492,3,0.6435070037841797,,,2
pieceinch.com,1,1,0,0.7242133617401123,3,0.725499153137207,,,2
pieceinch.com,1,0,1,0.16593456268310547,1,0.7106513977050781,2,0,2
australiatradenow.com,1,0,0,0.6385936737060547,3,0.6395618915557861,,,2
australiatradenow.com,1,1,0,0.641155481338501,3,0.6423056125640869,,,2
australiatradenow.com,1,0,1,0.18418169021606445,1,0.44982337951660156,2,0,2
diamondknot.com,1,0,0,0.7399649620056152,3,0.7411463260650635,,,4
diamondknot.com,1,1,0,0.7495980262756348,3,0.7510316371917725,,,4
diamondknot.com,1,0,1,0.41497015953063965,1,1.0444927215576172,2,0,4
amorefieldlife.com,1,0,0,0.5286097526550293,3,0.5302250385284424,,,1
amorefieldlife.com,1,1,0,0.7218525409698486,3,0.7237963676452637,,,1
amorefieldlife.com,1,0,1,0.31020045280456543,1,1.020578384399414,2,0,1
wrestlingfanssuck.com,1,0,0,0.9468777179718018,3,0.9480941295623779,,,1
wrestlingfanssuck.com,1,1,0,0.6970911026000977,3,0.6984665393829346,,,1
wrestlingfanssuck.com,1,0,1,0.2086930274963379,1,0.5812034606933594,2,0,1
autofirenze.biz,1,0,0,1.981003999710083,9,1.984201192855835,,,1
autofirenze.biz,1,1,0,2.3180296421051025,9,2.3217933177948,,,1
autofirenze.biz,1,0,1,0.2085425853729248,1,0.5249185562133789,2,0,1
house-sg.com,1,0,0,2.515275239944458,9,2.5189414024353027,,,1
house-sg.com,1,1,0,2.3188822269439697,9,2.32297420501709,,,1
house-sg.com,1,0,1,0.20638585090637207,1,2.2964940071105957,2,0,1
camcard.com,1,0,0,0.5704131126403809,3,0.5714626312255859,,,2
camcard.com,1,1,0,0.5433459281921387,3,0.5444726943969727,,,2
camcard.com,1,0,1,0.3126833438873291,1,0.9223728179931641,2,0,2
ppsuika.ac.id,1,0,0,1.4802076816558838,7,1.4831819534301758,,,1
ppsuika.ac.id,1,1,0,1.6930947303771973,7,1.6954243183135986,,,1
ppsuika.ac.id,1,0,1,1.1888196468353271,5,1.5690889358520508,2,4,1
healthnews4you.com,1,0,0,0.7252383232116699,3,0.7262508869171143,,,2
healthnews4you.com,1,1,0,0.977654218673706,3,0.9787125587463379,,,2
healthnews4you.com,1,0,1,0.20726656913757324,1,0.6305303573608398,2,0,2
stunninggirls.net,1,0,0,0.5146009922027588,3,0.5158777236938477,,,1
stunninggirls.net,1,1,0,0.7027530670166016,3,0.7039878368377686,,,1
